group_id,variant_code
img-db3c26f2c39742ffe3b7,vmm-c94b14075382e7ebe9d11b51b17561b88a0bc955676f6e7c593493f18c49fc1f
img-e98b8b38c933216892df,vmm-714ee9a79e81d07720ef892ffa3db875f538126e078922a2dade9e1b32e3936f
img-e98b8b38c933216892df,vmm-fed275ba28f2999f204e06ef8af49575b7ab40687692e38796c11a28f0ec21b0
img-e98b8b38c933216892df,vmm-a46b99425e43ff41f7ac1427a52b5382674ca55aa9e255a8c7fd45d1523a50e2
img-f968a417628ee47bf804,vmm-0a701bf104c3a9f69d66a30077057984ec6a5d9bc0d4b3b1b72e30361face4ff
img-f968a417628ee47bf804,vmm-57fe005b54914151f2c325ad7d377e3cb990bd2ee3cd5643380781e2cb46dea7
img-f968a417628ee47bf804,vmm-3d442b674004e0c85efa8631ae64bd391accf81a9f471eeef85d58a0cac37d21
img-f0380cf9ec36ccf923fb,vmm-541dd5779671facb4858ca07bb6a471ae1157d8bcd2378edcb7054c90113dfa2
img-f0380cf9ec36ccf923fb,vmm-3481e06d61e14205cdba19dda52c6edb3d70764896658158a355839414c8bdec
img-75453036a2e7fd777a87,vmm-c3c1153d706a13295e6bb5e5aa68e20fd50e6c9dbc60d1571bfb6c555bc4f7b9
img-a61815ea6b017088e5c7,vmm-ed80e185aac7db3b4d7be8467ac2523a801387c2366b4412fc6e82b9bfb27d9b
img-e8556270374dacf41b15,vmm-6b5710254f0e09bd095fee3b1ab0cf76185677e6fdb0c33cccb0200203d0d517
img-e5c994224719d5da6327,vmm-bd08936d779c3f8636c1507b557b0eb21633f8014eb90bf9d8db9606d30d8317
img-e5c994224719d5da6327,vmm-1002b02b1074aa6a72acace5333752793a6e149cc2818a96f2f8099379276327
img-a92fc6f39078a07504b9,vmm-02c1c7e7c4326a99219b264f3b339861b6bc8bbb73423e4cfe8c493c8a11e02f
img-fcd9c332b8a6eabefaa1,vmm-93d2553db3c78c43bd73e1ec52c537f5c1718beb8e6739ef22e01747d936dc07
img-fcd9c332b8a6eabefaa1,vmm-65f6a16138b58651b1fc87f966d1fe30e792641ac6336070ab986c7b31f0bd7c
